536365,United Kingdom,15.3,2010-12-01 08:26:00
536365,United Kingdom,20.34,2010-12-01 08:26:00
536365,United Kingdom,22.0,2010-12-01 08:26:00
536365,United Kingdom,20.34,2010-12-01 08:26:00
536365,United Kingdom,20.34,2010-12-01 08:26:00
536365,United Kingdom,15.3,2010-12-01 08:26:00
536365,United Kingdom,25.5,2010-12-01 08:26:00
536366,United Kingdom,11.1,2010-12-01 08:28:00
536366,United Kingdom,11.1,2010-12-01 08:28:00
536367,United Kingdom,54.08,2010-12-01 08:34:00
536367,United Kingdom,12.6,2010-12-01 08:34:00
536367,United Kingdom,12.6,2010-12-01 08:34:00
536367,United Kingdom,30.0,2010-12-01 08:34:00
536367,United Kingdom,9.9,2010-12-01 08:34:00
536367,United Kingdom,25.5,2010-12-01 08:34:00
536367,United Kingdom,14.85,2010-12-01 08:34:00
536367,United Kingdom,19.9,2010-12-01 08:34:00
536367,United Kingdom,17.85,2010-12-01 08:34:00
536367,United Kingdom,17.85,2010-12-01 08:34:00
536367,United Kingdom,31.8,2010-12-01 08:34:00
536367,United Kingdom,31.8,2010-12-01 08:34:00
536368,United Kingdom,25.5,2010-12-01 08:34:00
536368,United Kingdom,14.85,2010-12-01 08:34:00
536368,United Kingdom,14.85,2010-12-01 08:34:00
536368,United Kingdom,14.85,2010-12-01 08:34:00
536369,United Kingdom,17.85,2010-12-01 08:35:00
536370,France,90.0,2010-12-01 08:45:00
536370,France,90.0,2010-12-01 08:45:00
536370,France,45.0,2010-12-01 08:45:00
536370,France,10.2,2010-12-01 08:45:00
536370,France,15.6,2010-12-01 08:45:00
536370,France,40.8,2010-12-01 08:45:00
536370,France,30.0,2010-12-01 08:45:00
536370,France,53.1,2010-12-01 08:45:00
536370,France,70.8,2010-12-01 08:45:00
536370,France,46.8,2010-12-01 08:45:00
536370,France,46.8,2010-12-01 08:45:00
536370,France,46.8,2010-12-01 08:45:00
536370,France,17.0,2010-12-01 08:45:00
536370,France,39.6,2010-12-01 08:45:00
536370,France,70.8,2010-12-01 08:45:00
536370,France,45.0,2010-12-01 08:45:00
536370,France,10.08,2010-12-01 08:45:00
536370,France,10.08,2010-12-01 08:45:00
536370,France,23.4,2010-12-01 08:45:00
536370,France,54.0,2010-12-01 08:45:00
536371,United Kingdom,204.0,2010-12-01 09:00:00
536372,United Kingdom,11.1,2010-12-01 09:01:00
536372,United Kingdom,11.1,2010-12-01 09:01:00
536373,United Kingdom,15.3,2010-12-01 09:02:00
536373,United Kingdom,20.34,2010-12-01 09:02:00
536373,United Kingdom,22.0,2010-12-01 09:02:00
536373,United Kingdom,29.7,2010-12-01 09:02:00
536373,United Kingdom,6.36,2010-12-01 09:02:00
536373,United Kingdom,6.36,2010-12-01 09:02:00
536373,United Kingdom,6.36,2010-12-01 09:02:00
536373,United Kingdom,6.36,2010-12-01 09:02:00
536373,United Kingdom,9.9,2010-12-01 09:02:00
536373,United Kingdom,27.8,2010-12-01 09:02:00
536373,United Kingdom,12.6,2010-12-01 09:02:00
536373,United Kingdom,15.3,2010-12-01 09:02:00
536373,United Kingdom,20.34,2010-12-01 09:02:00
536373,United Kingdom,20.34,2010-12-01 09:02:00
536373,United Kingdom,15.3,2010-12-01 09:02:00
536373,United Kingdom,25.5,2010-12-01 09:02:00
536374,United Kingdom,350.4,2010-12-01 09:09:00
536375,United Kingdom,15.3,2010-12-01 09:32:00
536375,United Kingdom,20.34,2010-12-01 09:32:00
536375,United Kingdom,22.0,2010-12-01 09:32:00
536375,United Kingdom,29.7,2010-12-01 09:32:00
536375,United Kingdom,6.36,2010-12-01 09:32:00
536375,United Kingdom,6.36,2010-12-01 09:32:00
536375,United Kingdom,6.36,2010-12-01 09:32:00
536375,United Kingdom,6.36,2010-12-01 09:32:00
536375,United Kingdom,9.9,2010-12-01 09:32:00
536375,United Kingdom,27.8,2010-12-01 09:32:00
536375,United Kingdom,12.6,2010-12-01 09:32:00
536375,United Kingdom,15.3,2010-12-01 09:32:00
536375,United Kingdom,20.34,2010-12-01 09:32:00
536375,United Kingdom,20.34,2010-12-01 09:32:00
536375,United Kingdom,15.3,2010-12-01 09:32:00
536375,United Kingdom,25.5,2010-12-01 09:32:00
536376,United Kingdom,165.6,2010-12-01 09:32:00
536376,United Kingdom,163.2,2010-12-01 09:32:00
536377,United Kingdom,11.1,2010-12-01 09:34:00
536377,United Kingdom,11.1,2010-12-01 09:34:00
536378,United Kingdom,19.5,2010-12-01 09:37:00
536378,United Kingdom,19.5,2010-12-01 09:37:00
536378,United Kingdom,29.5,2010-12-01 09:37:00
536378,United Kingdom,8.5,2010-12-01 09:37:00
536378,United Kingdom,45.0,2010-12-01 09:37:00
536378,United Kingdom,22.5,2010-12-01 09:37:00
536378,United Kingdom,10.2,2010-12-01 09:37:00
536378,United Kingdom,16.5,2010-12-01 09:37:00
536378,United Kingdom,15.3,2010-12-01 09:37:00
536378,United Kingdom,15.3,2010-12-01 09:37:00
536378,United Kingdom,50.4,2010-12-01 09:37:00
536378,United Kingdom,13.2,2010-12-01 09:37:00
536378,United Kingdom,13.2,2010-12-01 09:37:00
536378,United Kingdom,13.2,2010-12-01 09:37:00
